2120,Consistent Beta,67,https://www.producthunt.com/r/5670e29b61421e,No reviews until now,No Review Score until now,['Thomas Schranz ⛄️'],"['Stopa', 'Joe Averbukh']","['TECH', 'HEALTH AND FITNESS']"
2121,Projectile,65,https://www.producthunt.com/r/f79455080736f7,No reviews until now,No Review Score until now,['Ahmad Kholid'],['Ahmad Kholid'],"['DEVELOPER TOOLS', 'GITHUB', 'PRODUCTIVITY']"
2122,RemoteDream,99,https://www.producthunt.com/r/b81da94ca2ef80,1 Review,5.0/5,['Joeri Nanov'],['Joeri Nanov'],"['TRAVEL', 'TECH', 'REMOTE WORK TOOLS', 'NOMAD LIFESTYLE']"
2123,Tillful,84,https://www.producthunt.com/r/204320c1a87cac,2 Reviews,5.0/5,['Colby Kraus'],"['Colby Kraus', 'Amber Fehrenbacher', 'Darren Carter', 'Krishna Vempati']","['PRODUCTIVITY', 'USER EXPERIENCE', 'FINTECH', 'TECH', 'APPLE', 'MONEY', 'IPHONE']"
2124,StockShark,61,https://www.producthunt.com/r/089d2d1b4e43d1,No reviews until now,No Review Score until now,['Aaron Isaac'],['Aaron Isaac'],"['ARTIFICIAL INTELL...', 'INVESTING']"
2125,CertificateClaim,55,https://www.producthunt.com/r/5bfbbee61bc771,No reviews until now,No Review Score until now,['Fabian Reinhard'],['Fabian Reinhard'],"['MARKETING', 'PRODUCTIVITY']"
2126,AVATAVI,48,https://www.producthunt.com/r/2452d51e5b0b18,No reviews until now,No Review Score until now,['Takahiro Poly Horikawa'],['Takahiro Poly Horikawa'],['ARTIFICIAL INTELL...']
2127,Tikumi Coffee,43,https://www.producthunt.com/r/60ceb7092d1519,No reviews until now,No Review Score until now,['Anurag Dommeti'],"['Anurag Dommeti', 'Audrey Chou']","['E-COMMERCE', 'COFFEE']"
2128,PULP,39,https://www.producthunt.com/r/76a7cc133875a2,No reviews until now,No Review Score until now,['Shiro Arai'],['Shiro Arai'],"['IPHONE', 'TECH', 'ANDROID']"
2129,Setiry,36,https://www.producthunt.com/r/dd7d1845b838ca,No reviews until now,No Review Score until now,['Muhammet S'],['Muhammet S'],"['MARKETING', 'PRODUCTIVITY']"
2130,Chuangkit,35,https://www.producthunt.com/r/a98fc038b0c244,No reviews until now,No Review Score until now,['Fajar Siddiq'],No Founders exist yet,['DESIGN TOOLS']
2131,Reqsave,39,https://www.producthunt.com/r/418b65c4e5ebca,No reviews until now,No Review Score until now,['Mustafa Adıgüzel'],['Mustafa Adıgüzel'],"['DEVELOPER TOOLS', 'PRODUCTIVITY']"
2132,Chaos Basket,33,https://www.producthunt.com/r/9377e127c19f79,No reviews until now,No Review Score until now,['Mustafa Enes Yelkesen'],['Mustafa Enes Yelkesen'],['ANDROID']
2133,Teatis,42,https://www.producthunt.com/r/95132b297f717a,No reviews until now,No Review Score until now,['Hiroshi Takato'],['Hiroshi Takato'],"['PRODUCTIVITY', 'COOKING', 'ON-DEMAND', 'MEDTECH', 'HEALTH AND FITNESS']"
2134,Glue Home,30,https://www.producthunt.com/r/43ad8516ff4ebe,No reviews until now,No Review Score until now,['Thiago Barbosa'],No Founders exist yet,"['TECH', 'INTERNET OF THINGS']"
2135,Health Me BETA,29,https://www.producthunt.com/r/0163c6744d7d2d,No reviews until now,No Review Score until now,['Aaron Reid'],['Aaron Reid'],['HEALTH AND FITNESS']
2136,REaD EyE,28,https://www.producthunt.com/r/ca6e20bdd17c09,No reviews until now,No Review Score until now,['Chris Messina'],['Yoshihiro Sasagawa'],"['IPAD', 'PRODUCTIVITY', 'NEWS', 'MEDITATION', 'IPHONE']"
2137,TreeMapper by Plant-for-the-Planet,29,https://www.producthunt.com/r/01bfc8722982f3,No reviews until now,No Review Score until now,['Sagar Aryal'],['Sagar Aryal'],"['IPHONE', 'PRODUCTIVITY', 'OPEN SOURCE', 'TECH', 'ANDROID']"
